gene_id	geneset
gene:YJL194W	Nucleus
gene:YPL217C	Cytoplasm
gene:YJR009C	Cytoplasm
gene:YOR005C	Nucleus
gene:YGL003C	Cytoplasm
gene:YGL065C	Endoplasmic reticulum membrane
gene:YJL006C	Nucleus
gene:YKL139W	Nucleus
gene:YDR216W	Nucleus
gene:YJR090C	Membrane
gene:YBR109C	Cytoplasm
gene:YLR109W	Cytoplasm
gene:YBL016W	Nucleus
gene:YLR116W	Nucleus
gene:YBR029C	Endoplasmic reticulum membrane
gene:YLR103C	Nucleus
gene:YBR084W	Mitochondrion
gene:YNL223W	Cytoplasm
gene:YDL070W	Cytoplasm
gene:YPL255W	Cytoplasm
gene:YBL015W	Cytoplasm
gene:YGR110W	Mitochondrion
gene:YHL043W	Membrane
gene:YDR414C	Endoplasmic reticulum membrane
gene:YMR184W	Cytoplasm
gene:YNL315C	Mitochondrion
gene:YPR030W	Cytoplasm
gene:Q0055	Mitochondrion
gene:YER030W	Nucleus
gene:YBR234C	Cytoplasm
gene:YKR074W	Cytoplasm
gene:YDR101C	Cytoplasm
gene:YMR014W	Nucleus
gene:YLR063W	Cytoplasm
gene:YLR003C	Nucleus
gene:YMR176W	Nucleus
gene:YKL204W	Cytoplasm
gene:YBR246W	Cytoplasm
gene:YER069W	Mitochondrion
gene:YBR039W	Mitochondrion
gene:YNL239W	Cytoplasm
gene:YLR418C	Nucleus
gene:YJR121W	Mitochondrion
gene:YML132W	Membrane
gene:YNL280C	Membrane
gene:YBL001C	Cytoplasm
gene:YBL101C	Cytoplasm
gene:YMR198W	Nucleus
gene:YPR161C	Nucleus
gene:YDR325W	Nucleus
gene:YLR227C	Cytoplasm
gene:YLR246W	Endoplasmic reticulum membrane
gene:YGL166W	Nucleus
gene:YOL110W	Endoplasmic reticulum membrane
gene:YOL153C	Membrane
gene:YDR322C-A	Mitochondrion
gene:YDR223W	Cytoplasm
gene:YJL060W	Cytoplasm
gene:YEL036C	Endoplasmic reticulum membrane
gene:YHR115C	Cytoplasm
gene:YNL135C	Cytoplasm
gene:YNR015W	Cytoplasm
gene:YHL030W	Cytoplasm
gene:YFL039C	Cytoplasm
gene:YDR361C	Cytoplasm
gene:YGR142W	Cytoplasm
gene:YFR036W	Nucleus
gene:YOR014W	Cytoplasm
gene:YBR110W	Endoplasmic reticulum membrane
gene:YBR302C	Membrane
gene:YDR127W	Cytoplasm
gene:YFL062W	Membrane
gene:YCL035C	Cytoplasm
gene:YLR272C	Nucleus
gene:YBL097W	Nucleus
gene:YBR136W	Nucleus
gene:YPL200W	Endoplasmic reticulum membrane
gene:YOR034C	Membrane
gene:YFR028C	Nucleus
gene:YBL082C	Endoplasmic reticulum membrane
gene:YDR421W	Nucleus
gene:YLR380W	Cytoplasm
gene:YHR109W	Cytoplasm
gene:YER109C	Nucleus
gene:YLR381W	Nucleus
gene:YER045C	Nucleus
gene:YCL058W-A	Nucleus
gene:YGL017W	Cytoplasm
gene:YLR304C	Mitochondrion
gene:YNL094W	Cytoplasm
gene:YHR191C	Nucleus
gene:YHR185C	Nucleus
gene:YDR111C	Cytoplasm
gene:YOR249C	Nucleus
gene:YPR034W	Nucleus
gene:YGL160W	Membrane
gene:YHR040W	Nucleus
gene:YHR209W	Cytoplasm
gene:YML116W	Membrane
gene:YDR238C	Cytoplasm
gene:YDR241W	Membrane
gene:YOL062C	Membrane
gene:YPL202C	Nucleus
gene:YIL003W	Cytoplasm
gene:YDR179C	Cytoplasm
gene:YMR303C	Cytoplasm
gene:YPL084W	Cytoplasm
gene:YML112W	Nucleus
gene:YPR033C	Cytoplasm
gene:YER131W	Cytoplasm
gene:YJL190C	Cytoplasm
gene:YDR417C	Membrane
gene:YPR107C	Nucleus
gene:YDR491C	Membrane
gene:YLR024C	Cytoplasm
gene:YHR131C	Cytoplasm
gene:YKL214C	Nucleus
gene:YMR226C	Cytoplasm
gene:YBR232C	Membrane
gene:YMR158W-B	Membrane
gene:YMR134W	Membrane
gene:YOR331C	Membrane
gene:YNL266W	Membrane
gene:YBL053W	Membrane
gene:YOR385W	Cytoplasm
gene:YML090W	Membrane
gene:YHL009C	Cytoplasm
gene:YCR024C-B	Membrane
gene:YML027W	Nucleus
gene:YNL162W-A	Cytoplasm
gene:YOR392W	Membrane
gene:YJL141C	Cytoplasm
gene:YBR002C	Endoplasmic reticulum membrane
gene:YEL050C	Mitochondrion
gene:YML024W	Cytoplasm
gene:YHL001W	Cytoplasm
gene:YMR261C	Cytoplasm
gene:YBR051W	Membrane
gene:YHL002C-A	Membrane
gene:YPR158W-A	Cytoplasm
gene:YLR302C	Membrane
gene:YBL062W	Membrane
gene:YAL064W-B	Membrane
gene:YLR422W	Cytoplasm
gene:YGL114W	Membrane
gene:YGR270C-A	Membrane
gene:YCR018C-A	Membrane
gene:YFL010C	Cytoplasm
gene:YDR285W	Nucleus
gene:YMR187C	Membrane
gene:YPL238C	Membrane
gene:YPL257W	Membrane
gene:YPR148C	Cytoplasm
gene:YNL203C	Membrane
gene:YBR183W	Endoplasmic reticulum membrane
gene:YFR003C	Nucleus
gene:YGR211W	Cytoplasm
gene:YDL060W	Cytoplasm
gene:YMR050C	Cytoplasm
gene:YGL058W	Cytoplasm
gene:YOR008C-A	Membrane
gene:YFL038C	Endoplasmic reticulum membrane
gene:YKL018C-A	Cytoplasm
gene:YML093W	Nucleus
gene:YLR410W	Cytoplasm
gene:YPL257W-B	Cytoplasm
gene:YGR281W	Membrane
gene:YAL059C-A	Membrane
gene:YJL067W	Membrane
gene:YNL054W-B	Cytoplasm
gene:YOL075C	Membrane
gene:YOL079W	Membrane
gene:YPR142C	Membrane
gene:YML133W-B	Membrane
gene:YJR104C	Cytoplasm
gene:YDR509W	Membrane
gene:YDR495C	Cytoplasm
gene:YGR090W	Nucleus
gene:YOR093C	Membrane
gene:YPR100W	Mitochondrion
gene:YMR236W	Nucleus
gene:YGL208W	Cytoplasm
gene:YPL118W	Mitochondrion
gene:YGL162W	Cytoplasm
gene:YPL138C	Nucleus
gene:YBR209W	Membrane
gene:YNL174W	Membrane
gene:YPL114W	Membrane
gene:YMR051C	Cytoplasm
gene:YOL022C	Cytoplasm
gene:YNR039C	Endoplasmic reticulum membrane
gene:YDR226W	Cytoplasm
gene:YNR070W	Membrane
gene:Q0010	Mitochondrion
gene:YNL207W	Cytoplasm
gene:YLR141W	Nucleus
gene:YIL139C	Mitochondrion
gene:YBR061C	Cytoplasm
gene:YHR154W	Nucleus
gene:YOR353C	Cytoplasm
gene:YLR409C	Nucleus
gene:YPR199C	Nucleus
gene:YJR012C	Membrane
gene:YGR214W	Cytoplasm
gene:YDR395W	Cytoplasm
gene:YDR001C	Cytoplasm
gene:YNL012W	Endoplasmic reticulum membrane
gene:YPL002C	Cytoplasm
gene:YBL103C	Nucleus
gene:YGR008C	Mitochondrion
gene:YER084W	Cytoplasm
gene:YDR444W	Cytoplasm
gene:YKL119C	Endoplasmic reticulum membrane
